IDCATEGORY,CATEGORIA,DESCRIPCION,IDSERVICE,SERVICIOS,DESCRIPCION SERVICIO,URLINFO,IMAGENSERVICIO,IMAGENCATEGORY,IMAGENPORTRAIT,ALIAS_IMG_SERVICIO,ALIAS_IMG_CATEGORY,ALIAS_IMG_CATEGORY_PORT
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,56,BONO MENSUAL PHYSIOFIT 2 SESIONES SEMANALES,"Clases grupales de columna, miembros inferiores o miembros superiores. 
Beneficios: 
-      Mantenimiento de las capacidades físicas
-      Prevención y tratamiento de patologías
-      Expertos en fisioterapia ",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/phy-2.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,phy-2,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,57,BONO MENSUAL PHYSIOFIT 3 SESIONES SEMANALES,"Clases grupales de columna, miembros inferiores o miembros superiores. 
Beneficios: 
-      Mantenimiento de las capacidades físicas
-      Prevención y tratamiento de patologías
-      Expertos en fisioterapia ",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/phy-3.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,phy-3,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,58,BONO MENSUAL PHYSIOFIT PISCINA 2 SESIONES SEMANALES,"Clases grupales de columna, miembros inferiores o miembros superiores. 
Beneficios: 
-      Mantenimiento de las capacidades físicas
-      Prevención y tratamiento de patologías
-      Expertos en fisioterapia ",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/phy-pis-2.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,phy-pis-2,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,59,BONO MENSUAL PHYSIOFIT PISCINA 3 SESIONES SEMANALES,"Clases grupales de columna, miembros inferiores o miembros superiores. 
Beneficios: 
-      Mantenimiento de las capacidades físicas
-      Prevención y tratamiento de patologías
-      Expertos en fisioterapia ",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/phy-pis-3.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,phy-pis-3,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,54,BONO ONDAS DE CHOQUE 3 SESIONES,"Recomendado para pacientes que sufren fascitis plantar y espolón calcáneo. 
Beneficios: 
-      Alivio de dolor crónico 
-      Recuperación de la movilidad
-      Regeneración rápida de los tejidos lesionados
-      Efectivo en fisioterapia en el 90% de los casos",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/odc-3.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,odc-3,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,55,BONO ONDAS DE CHOQUE 5 SESIONES,"Recomendado para pacientes que sufren fascitis plantar y espolón calcáneo. 
Beneficios: 
-      Alivio de dolor crónico 
-      Recuperación de la movilidad
-      Regeneración rápida de los tejidos lesionados
-      Efectivo en fisioterapia en el 90% de los casos",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/odc-5.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,odc-5,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,15,BONO REHABILITACIÓN 5 SESIONES,"Los tratamientos son aplicados de manera individualizada. Las técnicas asistidas por equipamiento son prestadas con equipos de alta calidad y eficacia.
Beneficios:
-	Recuperar y/o mantener la capacidad funcional
-	Prevenir posibles enfermedades secundarias
-	Equipamiento de alta calidad y eficacia
-	Ahorra 10€ con bono de 5 sesiones",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/rhb-5.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,rhb-5,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,6,BONO REHABILITACIÓN 10 SESIONES,"Los tratamientos son aplicados de manera individualizada. Las técnicas asistidas por equipamiento son prestadas con equipos de alta calidad y eficacia.
Beneficios:
-	Recuperar y/o mantener la capacidad funcional
-	Prevenir posibles enfermedades secundarias
-	Equipamiento de alta calidad y eficacia
-	Ahorra 30€ con bono de 10 sesiones. ",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/rhb-10.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,rhb-10,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,52,BONO REHABILITACIÓN COMPLEJA 5 SESIONES,"Los tratamientos son aplicados de manera individualizada. Las técnicas asistidas por equipamiento son prestadas con equipos de alta calidad y eficacia.
Beneficios:
-    Recuperar y/o mantener la capacidad funcional
-    Prevenir posibles enfermedades secundarias
-    Equipamiento de alta calidad y eficacia
-    Ahorra 8,75€ con bono de 5 sesiones",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/rhb-com-5.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,rhb-com-5,rhb-land,rhb-port
1,REHABILITACIÓN,Tratamiento personalizado con fisioterapeuta especialista en todas las técnicas de rehabilitación. ,53,BONO REHABILITACIÓN COMPLEJA 10 SESIONES,"Los tratamientos son aplicados de manera individualizada. Las técnicas asistidas por equipamiento son prestadas con equipos de alta calidad y eficacia.
Beneficios:
-    Recuperar y/o mantener la capacidad funcional
-    Prevenir posibles enfermedades secundarias
-    Equipamiento de alta calidad y eficacia
-    Ahorra 8,75€ con bono de 5 sesiones",https://www.grupoicot.es/servicios/rehabilitacion-y-fisioterapia/ ,/storage/img/services/rhb-com-10.jpg,/storage/img/serv_categories/rhb-land.jpg,/storage/img/serv_categories/rhb-port.jpg,rhb-com-10,rhb-land,rhb-port
