id,code,ic,categoria,pregunta,respuesta
1,0.1,add-circle,INSTALACIÓN/ACTUALIZACIÓN DE LA APP,¿CÓMO PUEDO INSTALAR LA APLICACIÓN EN MI MÓVIL?,PARA REALIZAR LA INSTALACIÓN EN TU DISPOSITIVO MÓVIL TAN SÓLO TIENES QUE HACER CLICK EN EL ENLACE RECIBIDO POR CORREO ELECTRÓNICO Y ELEGIR LA OPCIÓN DE  'INSTALADOR DE PAQUETES'  PARA PROCEDER A INSTALAR LA APP.
2,0.2,add-circle,INSTALACIÓN/ACTUALIZACIÓN DE LA APP,"SE ENCUENTRA DISPONIBLE UNA ACTUALIZACIÓN,  ¿CÓMO PUEDO ACTUALIZAR LA APP?"," PARA PERMITIR INSTALAR LAS ACTUALIZACIONES TENDRÁS QUE DAR PERMISO A LA INSTALACIÓN DE APLICACIONES DE ORÍGENES DESCONOCIDOS,  UNA VEZ DESCARGADA LA APP,  CONFIRME Y CAMBIE ESTOS AJUSTES Y A CONTINUACIÓN SE ACTUALIZARÁ LA APLICACIÓN."
3,1.1,add-circle,ACCESO A LA APLICACIÓN,¿CÓMO PUEDO ACCEDER A LA APLICACIÓN?,"PARA ACCEDER A LA APLICACIÓN ES NECESARIO SOLICITAR ACCESO DESDE LA OPCIÓN ACCESIBLE DESDE LA PANTALLA PRINCIPAL.
PULSE EL BOTÓN ¡SOLICITAR ACCESO!, COMPLETE Y ENVÍE EL FORMULARIO CON LOS DATOS SOLICITADOS PARA REALIZAR LA SOLICITUD.
INICIALMENTE SE REALIZARÁ UNA VALIDACIÓN DE LA CUENTA DEL EMPLEADO. UNA VEZ VALIDADA LA CUENTA, EL USUARIO RECIBIRÁ POR CORREO ELECTRÓNICO LOS CREDENCIALES TEMPORALES PARA REALIZAR EL PRIMER LOGIN*.
PARA ACCEDER INTRODUZCA SU ID DE USUARIO Y SU CONTRASEÑA Y PULSE EL BOTÓN DE ACCEDER PARA INICIAR SESIÓN EN SU CUENTA DE EMPLEADO."
4,1.2,add-circle,ACCESO A LA APLICACIÓN,"HE PERDIDO,  OLVIDADO MI CONTRASEÑA DE ACCESO,  ¿CÓMO PUEDO RECUPERARLA?","PARA REESTABLECER LA CONSTRASEÑA DE SU CUENTA PUEDE UTILIZAR LA OPCIÓN DE ¿CONTRASEÑA OLVIDADA?. INTRODUZCA SU ID DE USUARIO Y PULSE ENVIAR PARA PROCEDER A REALIZAR LA SOLICITUD. SI SU CUENTA SE ENCUENTRA VALIDADA Y APTA SE PERMITIRÁ LA OPCIÓN DE CAMBIO DE CONTRASEÑA AUTOMÁTICA*.

* PARA REALIZAR EL CAMBIO DE CONTRASEÑA AUTOMÁTICA SE REQUIERE QUE EL USUARIO HAYA INICIADO SESIÓN PREVIAMENTE. (AL MENOS UNA VEZ)."
5,1.3,add-circle,ACCESO A LA APLICACIÓN,TENGO PROBLEMAS PARA ACCEDER CON MIS CREDENCIALES.,"SI SURGEN PROBLEMAS A LA HORA DE ACCEDER CON SUS CREDENCIALES, RECOMENDAMOS SOLICITAR UNA NUEVA CONTRASEÑA Y REALIZAR EL CAMBIO DE LA MISMA, PARA INTENTAR POSTERIORMENTE ACCEDER CON LOS NUEVOS DATOS.

SI TRAS LA OPERACIÓN SIGUE SIN PODER ACCEDER, POR FAVOR CONTACTE CON SU SUPERVISOR."
6,2.1,add-circle,VISUALIZAR Y MODIFICAR DATOS,¿PUEDO VER LOS INCENTIVOS GENERADOS CON MIS RECOMENDACIONES?,"¡POR SUPUESTO!,  LA APP CUENTA CON UNA SECCIÓN DEDICADA DONDE PODRÁS CONTROLAR TUS INCENTIVOS GENERADOS CON VISTAS EN RESUMEN O EN DETALLE PARA QUE NO TE PIERDAS NADA.

MODO RESUMEN: SE MUESTRA INFORMACIÓN DE SERVICIOS INCENTIVADOS CUANDO SU ESTADO ES VALIDADO O PAGADO.
MODO DETALLES: SE MUESTRAS TODOS LOS SERVICIOS INCENTIVADOS EN LA FRANJA CONSULTADA. HAZ CLICK EN CADA UNO DE ELLOS PARA VER MÁS DETALLES…"
7,2.2,add-circle,VISUALIZAR Y MODIFICAR DATOS,¿CÓMO PUEDO FILTRAR MIS INCENTIVOS?,"PUEDES CONSULTAR TUS INCENTIVOS APLICANDO ESTOS 3 FILTROS:

1. CORTE ACTUAL
- SE CONSULTA LA FRANJA ENTRE EL DÍA 21 DEL MES ANTERIOR Y EL DÍA 20 DEL MES ACTUAL.

2. MES Y AÑO
- PUEDES CONSULTAR UN MES CONCRETO EN UN AÑO CONCRETO.

3. AÑO
- CONSULTA DE INCENTIVOS PARA UN AÑO COMPLETO."
8,2.3,add-circle,VISUALIZAR Y MODIFICAR DATOS,¿PUEDO MODIFICAR MIS DATOS?,"NO,  NO SE PERMITE LA MODIFICACIÓN DE NINGÚN DATO,  NI PERSONAL NI ASOCIADO A SU CUENTA. 

SI NECESITA REALIZAR ALGUNA MODIFICACIÓN DE DATOS, POR FAVOR CONTACTE CON EL DPTO DE RRHH."
9,3.1,add-circle,RECOMENDAR SERVICIOS,¿PUEDO RECOMENDAR SERVICIOS DESDE LA APP?,"¡POR SUPUESTO!, PUEDES REGISTRAR NUEVAS VENTAS DESDE VARIOS PUNTOS DE LA APP:

     1- DESDE LA LISTA DE SERVICIOS, HAZ TU SELECCIÓN Y CUANDO ENCUENTRES EL SERVICIO ADECUADO, PULSA EL BOTÓN 'RECOMENDAR SERVICI O' Y SERÁS REDIRIGID@ AL FORMULARIO DE VENTA.

     2- DESDE EL HOME PRINCIPAL PULSA EL BOTÓN 'REGISTRO DE VENTA' PARA ACCEDER AL FORMULARIO DE VENTA.

     3- DESDE EL HOME PRINCIPAL PULSA EL BOTÓN 'REGISTRO DE VENTA' PARA ACCEDER DIRECTAMENTE AL FORMULARIO DE VENTA."
10,3.2,add-circle,RECOMENDAR SERVICIOS,¿PUEDO RECOMENDAR SERVICIOS A PERSONAS QUE NO SON PACIENTES DE ICOT?,"SI,  ESTAMOS ENCANTADOS DE TENER NUEVOS PACIENTES CON NOSOTROS, COMPLETA EL FORMULARIO CON TODOS SUS DATOS Y LA SOLICITUD SERÁ GESTIONADA EN LA MAYOR BREVEDAD POSIBLE."
