CENTRO,DESCRIPCION,DIRECCIÓN,TELÉFONO,EMAIL,SUPERVISOR,HORARIO,IMAGE_CENTRE,ALIAS_IMG
SANTA CRUZ,SANTA CRUZ,"C/ Leoncio Rodríguez, 56. 38005 - Santa Cruz de Tenerife",922 206 270 (ext. 1),supervision.santacruz@grupoicot.es,Jésica Sabina Campos,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/santacruz.jpg,santacruz
LA CUESTA,LA CUESTA,"Avenida de Los Menceyes, 364. La Laguna. 38320 - Santa Cruz de Tenerife",922 661 090,supervision.lacuesta@grupoicot.es,Carlota Corujo Hernández,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/lacuesta.jpg,lacuesta
LA LAGUNA,LA LAGUNA,"Avenida Leonardo Torriani, 12 - La Laguna",922 315 299,supervision.lalaguna@grupoicot.es ,Nuria García Raposo,De lunes a viernes - De 8:00 a 13:00 y de 14:00 a 19:00,/storage/img/centres/lalaguna.jpg,lalaguna
LA OROTAVA,LA OROTAVA,"C.C. La Orotava, Alfonso Trujillo - La Orotava - 38300 - Santa Cruz de Tenerife",922 322 026,supervision.laorotava@grupoicot.es ,Almudena Rodríguez Rosquete,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/laorotava.jpg,laorotava
LAS AMÉRICAS,LAS AMÉRICAS,"C/ Managua, CC Presidente s/n - Arona - 38660 - Santa Cruz de Tenerife",922 788 220,supervision.lasamericas@grupoicot.es ,Martha Garabote Santos,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/lasamericas.jpg,lasamericas
SAN ISIDRO,SAN ISIDRO,"C/ Paisaje Lunar, 13. San Isidro - Granadilla de Abona - 38611 - Santa Cruz de Tenerife",922 086 180,supervision.sanisidro@grupoicot.es ,Tatiana López Padrón,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/sanisidro.jpg,sanisidro
CANDELARIA,CANDELARIA,"C/ Al Alba, Edif. Balcón de Candelaria III, local 5. - Candelaria - 38530 - Santa Cruz de Tenerife",922 106 226,supervision.candelaria@grupoicot.es,Carolina Rúas González,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/candelaria.jpg,candelaria
PARQUE TENERIFE,HOSPITAL PARQUE TENERIFE,"C/ Puerta Canseco, 9 - Santa Cruz de Tenerife - 38003 - Santa Cruz de Tenerife",922 100 270,supervision.parque@grupoicot.es,Aurora Daza Cabrera,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/parquetenerife.jpg,parquetenerife
PARQUE LANZAROTE,CENTRO MÉDICO PARQUE LANZAROTE,"C/ Doctor Gómez Ulla, 29 - 35500 Arrecife - Lanzarote - Las Palmas",679 979 665 - 674 295 631,supervision.lanzarote@grupoicot.es,Luis Casas Álvarez,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/parquelanzarote.jpg,parquelanzarote
PARQUE FUERTEVENTURA,HOSPITAL PARQUE FUERTEVENTURA,"C/ Secundino Alonso, 17. Puerto del Rosario, Fuerteventura - 35600 Las Palmas",928 533 434,supervision.fuerteventura@grupoicot.es,Sandra Moreno Lizarte ,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/parquefuerteventura.jpg,parquefuerteventura
